Philippines 194112141700 Corregidor 100 r 800 800 279409.5 483372.29 0
Philippines 194112141700 Corregidor 101 r 800 800 280924.15 511742.56 0
Philippines 194112141700 Corregidor 102 r 800 800 280761.15 511355.23 0
Philippines 194112141700 Corregidor 103 r 800 800 281809.29 514232.79 0
Philippines 194112141700 Corregidor 104 r 800 800 309339.71 547546.24 0
Philippines 194112141700 Corregidor 105 r 800 800 271357.46 455107.76 0
Philippines 194112141700 Corregidor 106 r 800 800 270809.23 455276.45 0
Philippines 194112141700 Corregidor 107 r 1800 1800 274355.67 452968.81 0
Philippines 194112141700 Corregidor 108 r 6000 6000 274638.75 452934.29 0
Philippines 194112141700 Corregidor 109 r 1800 1800 261681.24 474959.78 0
Philippines 194112141700 Corregidor 110 r 1800 1800 291062.4 458043.66 0
Philippines 194112141700 Corregidor 111 r 1800 1800 291661.32 458079.31 0
Philippines 194112141700 Corregidor 112 r 1800 1800 291566.72 458926.67 0
Philippines 194112141700 Corregidor 113 r 1800 1800 326708.81 432839.9 0
Philippines 194112141700 Corregidor 114 r 1800 1800 398536.3 416125.55 0
Philippines 194112141700 Corregidor 115 r 6000 6000 425371.21 393040.63 0
Philippines 194112141700 Corregidor 116 r 6000 6000 278252.38 445653.82 0
Philippines 194112141700 Corregidor 117 r 6000 6000 278251.76 445624.97 0
Philippines 194112141700 Corregidor 118 r 6000 6000 514073.15 100697.97 0
Philippines 194112141700 Corregidor 119 r 6000 6000 514107.74 100712.06 0
Philippines 194112141700 Corregidor 120 r 6000 6000 516223.41 239128.76 0
Philippines 194112141700 Corregidor 121 r 6000 6000 484344.06 302023.26 0
Philippines 194112141700 Corregidor 122 r 6000 6000 484360.97 301999.51 0
Philippines 194112141700 Corregidor 123 r 6000 6000 484325.05 302009.1 0
Philippines 194112141700 Corregidor 124 r 6000 6000 484341.71 301986.32 0
Philippines 194112141700 Corregidor 125 r 1800 1800 311716.46 397715.26 0
Philippines 194112141700 Corregidor 126 r 800 800 275341.38 508700.85 0
Philippines 194112141700 Corregidor 127 r 1800 1800 287920.72 483623.31 0
Philippines 194112141700 Corregidor 128 r 1800 1800 278589.03 434285.95 0
Philippines 194112141700 Corregidor 129 r 1800 1800 278589.58 434311.84 0
Philippines 194112141700 Corregidor 130 r 6000 6000 191845.64 242753.11 0
Philippines 194112141700 Corregidor 131 r 6000 6000 191877.67 242790.26 0
Philippines 194112141700 Corregidor 132 r 6000 6000 280407.08 487768.95 0
Philippines 194112141700 Corregidor 133 r 1800 1800 264296.64 532646.85 0
Philippines 194112141700 Corregidor 134 r 1800 1800 263964.32 532853.14 0
Philippines 194112141700 Corregidor 135 r 1800 1800 268388.15 536578.07 0
Philippines 194112141700 Corregidor 136 r 1800 1800 316915.48 448048.54 0
Philippines 194112141700 Corregidor 137 r 1800 1800 369807.48 276307.38 0
Philippines 194112141700 Corregidor 138 r 1800 1800 360096.44 323259.64 0
Philippines 194112141700 Corregidor 139 r 6000 6000 466779.23 290440.55 0
Philippines 194112141700 Corregidor 140 r 6000 6000 493380.57 53485.57 0
Philippines 194112141700 Corregidor 141 r 6000 6000 493366.09 53471.59 0
