Philippines 194112141700 Corregidor 100 r 800 800 279409.5 483372.29 0   2200_bld House$AirdromeBarrelBlock1 1 279409.5 483372.29 660
Philippines 194112141700 Corregidor 101 r 800 800 280924.15 511742.56 0   2201_bld House$AirdromeBarrelBlock1 1 280924.15 511742.56 705
Philippines 194112141700 Corregidor 102 r 800 800 280761.15 511355.23 0   2202_bld House$AirdromeBarrelBlock1 1 280761.15 511355.23 645
Philippines 194112141700 Corregidor 103 r 800 800 281809.29 514232.79 0   2203_bld House$AirdromeBarrelBlock1 1 281809.29 514232.79 585
Philippines 194112141700 Corregidor 104 r 800 800 309339.71 547546.24 0   2204_bld House$AirdromeBarrelBlock1 1 309339.71 547546.24 630
Philippines 194112141700 Corregidor 105 r 800 800 271357.46 455107.76 0   2205_bld House$AirdromeBarrelBlock1 1 271357.46 455107.76 675
Philippines 194112141700 Corregidor 106 r 800 800 270809.23 455276.45 0   2206_bld House$AirdromeBarrelBlock1 1 270809.23 455276.45 405
Philippines 194112141700 Corregidor 107 r 1800 1800 274355.67 452968.81 0   2207_bld House$AirdromeTank1 1 274355.67 452968.81 450
Philippines 194112141700 Corregidor 108 r 6000 6000 274638.75 452934.29 0   2208_bld House$AirdromeFuelTank 1 274638.75 452934.29 450
Philippines 194112141700 Corregidor 109 r 1800 1800 261681.24 474959.78 0   2209_bld House$AirdromeTank1 1 261681.24 474959.78 540
Philippines 194112141700 Corregidor 110 r 1800 1800 291062.4 458043.66 0   2210_bld House$AirdromeTank1 1 291062.4 458043.66 580
Philippines 194112141700 Corregidor 111 r 1800 1800 291661.32 458079.31 0   2211_bld House$AirdromeTank1 1 291661.32 458079.31 605
Philippines 194112141700 Corregidor 112 r 1800 1800 291566.72 458926.67 0   2212_bld House$AirdromeTank1 1 291566.72 458926.67 540
Philippines 194112141700 Corregidor 113 r 1800 1800 326708.81 432839.9 0   2213_bld House$AirdromeTank1 1 326708.81 432839.9 540
Philippines 194112141700 Corregidor 114 r 1800 1800 398536.3 416125.55 0   2214_bld House$AirdromeTank1 1 398536.3 416125.55 495
Philippines 194112141700 Corregidor 115 r 6000 6000 425371.21 393040.63 0   2215_bld House$AirdromeFuelTank 1 425371.21 393040.63 540
Philippines 194112141700 Corregidor 116 r 6000 6000 278252.38 445653.82 0   2216_bld House$AirdromeFuelTank 1 278252.38 445653.82 540
Philippines 194112141700 Corregidor 117 r 6000 6000 278251.76 445624.97 0   2217_bld House$AirdromeFuelTank 1 278251.76 445624.97 540
Philippines 194112141700 Corregidor 118 r 6000 6000 514073.15 100697.97 0   2218_bld House$AirdromeFuelTank 1 514073.15 100697.97 540
Philippines 194112141700 Corregidor 119 r 6000 6000 514107.74 100712.06 0   2219_bld House$AirdromeFuelTank 1 514107.74 100712.06 540
Philippines 194112141700 Corregidor 120 r 6000 6000 516223.41 239128.76 0   2220_bld House$AirdromeFuelTank 1 516223.41 239128.76 495
Philippines 194112141700 Corregidor 121 r 6000 6000 484344.06 302023.26 0   2221_bld House$AirdromeFuelTank 1 484344.06 302023.26 495
Philippines 194112141700 Corregidor 122 r 6000 6000 484360.97 301999.51 0   2222_bld House$AirdromeFuelTank 1 484360.97 301999.51 495
Philippines 194112141700 Corregidor 123 r 6000 6000 484325.05 302009.1 0   2223_bld House$AirdromeFuelTank 1 484325.05 302009.1 495
Philippines 194112141700 Corregidor 124 r 6000 6000 484341.71 301986.32 0   2224_bld House$AirdromeFuelTank 1 484341.71 301986.32 495
Philippines 194112141700 Corregidor 125 r 1800 1800 311716.46 397715.26 0   2225_bld House$AirdromeTank1 1 311716.46 397715.26 450
Philippines 194112141700 Corregidor 126 r 800 800 275341.38 508700.85 0   2226_bld House$AirdromeBarrelBlock1 1 275341.38 508700.85 450
Philippines 194112141700 Corregidor 127 r 1800 1800 287920.72 483623.31 0   2227_bld House$AirdromeTank1 1 287920.72 483623.31 450
Philippines 194112141700 Corregidor 128 r 1800 1800 278589.03 434285.95 0   2228_bld House$AirdromeTank1 1 278589.03 434285.95 450
