1	Aparri_Station	Philippines					Operational		n	329300	643500	360	50000	0
1	Davao_Station	Philippines					Operational		n	514900	102089	675	10000	0
1	Butuan_Station	Philippines					Operational		n	509500	192300	675	10000	0
1	Luzon_South_Station	Philippines					Operational		n	426100	392900	675	50000	0
1	Naga_Station	Philippines					Operational		n	398518	416104	675	50000	0
1	Lucena_Station	Philippines					Operational		n	327290	432110	675	10000	0
1	Manila_South_Station	Philippines					Operational		n	296300	459900	360	10000	0
1	Manila_North_Station	Philippines					Operational		n	295700	465500	360	10000	0
1	Del_Carmen_Station	Philippines					Operational		n	272900	484900	360	10000	0
1	Dagupan_Station	Philippines					Operational		n	268300	536300	360	10000	0
1	Roxas_Station	Philippines					Operational		n	332500	594700	675	10000	0
