_50calMG_US_M2HB	0.555555582	VRI	0	0	0	0	298	0	0	0		0	1	0	0	1	AI	Infantry.1-USInfantry	Infantry.1-USInfantry	vehicles.artillery.Artillery$_50calMG_US_M2HB	vehicles.stationary.Stationary$_50calMG_US_M2HB	4000	100	0	0	0	0	60	0	0	1	0	500	500	180	1	2	r	.50cal M2HB	.50cal	19390901	0	0	IF44 - US Maxim MG
_50calMG_water_US	0.555555582	VRI	0	0	0	0	308	0	0	0		0	1	0	0	1	AI	Infantry.1-USInfantry	Infantry.1-USInfantry	vehicles.artillery.Artillery$_50calMG_water_US	vehicles.stationary.Stationary$_50calMG_water_US	4000	100	0	0	0	0	60	0	0	1	0	800	800	180	1	2	r	.50cal M2	.50cal	19390901	0	0	IF44 - US Maxim MG
7TP	2.083333492	T	0	0	0	0	10185	0	0	0		0	0	0	0	4	AI	Armor.1-7TP	Armor.4-7TP	vehicles.artillery.Artillery$_7TP	vehicles.stationary.Stationary$_7TP	15000	160	0	0	0	0	160	0	0	1	0	320	320	180	1	3	x	7TP jw	7TP	19390901	0	0	
A_20B	0	PBO	0	0	0	0	12388	0	0	0		0	0	1	0	4	Human	air.A_20B	air.A_20B	vehicles.planes.Plane$A_20B	vehicles.planes.Plane$A_20B	546000	1690	483	546	3700	504	2744	0	8400	2	5	0	0	0	1	3	x	Douglas DB7 Boston	Douglas DB7 Boston	19390101	1	0	
A_20C	0	PBO	0	0	0	0	11136	0	0	0		0	0	1	0	4	Human	air.A_20C	air.A_20C	vehicles.planes.Plane$A_20C	vehicles.planes.Plane$A_20C	546000	1690	483	546	3700	504	2744	0	8400	2	5	0	0	0	1	3	r	Douglas A-20C Boston	Douglas A-20C	19420101	0	0	
A_20G	0	PBO	0	0	0	0	12364	0	0	0		0	0	1	0	4	Human	air.A_20G	air.A_20G	vehicles.planes.Plane$A_20G	vehicles.planes.Plane$A_20G	545567	1650	483	546	3700	504.37	2744	0	7863	2	5	0	0	0	1	3	r	Douglas A-20G Boston	Douglas A-20G	19420101	0	0	
A5M4	0	PFI	0	0	0	0	1705	0	1	0		0	0	1	0	4	Human	air.A5M4	air.A5M4	vehicles.planes.Plane$A5M4	vehicles.planes.Plane$A5M4	434000	1200	407	433	3000	365	210	160	9800	1	1	0	0	0	1	1	g	Mitsubishi A5M4 Claude	Mitsubishi A5M4	19360401	0	0	
A6M2	0	PFI	0	0	0	0	2410	0	1	0		0	0	1	0	4	Human	air.A6M2	air.A6M2	vehicles.planes.Plane$A6M2	vehicles.planes.Plane$A6M2	534000	2615	428	527	4600	473	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M2 Zero	Mitsubishi A6M2 Rei-sen	19400801	0	0	
A6M2_21	0	PFI	0	0	0	0	2410	0	1	0		0	0	1	0	4	Human	air.A6M2_21	air.A6M2_21	vehicles.planes.Plane$A6M2_21	vehicles.planes.Plane$A6M2_21	533000	1780	427	526	4500	471	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M2-21 Zeke	Mitsubishi A6M2-21 Rei-sen	19401101	0	0	
A6M2_21Late	0	PFI	0	0	0	0	2410	0	1	0		0	0	1	0	4	Human	air.A6M2_21Late	air.A6M2_21Late	vehicles.planes.Plane$A6M2_21Late	vehicles.planes.Plane$A6M2_21Late	533000	1780	427	526	4500	471	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M2-21late Zeke	Mitsubishi A6M2-21 Late Rei-sen	19401101	1	0	
A6M2N	0	PSE	0	0	0	0	2460	0	0	0	lookout	0	0	1	0	1	Human	air.A6M2N	air.A6M2N	vehicles.planes.Plane$A6M2N	vehicles.planes.Plane$A6M2N	435000	1780	355	433	4400	377	545	330	10000	1	5	0	0	0	1	1	g	Mitsubishi A6M2-N Rufe	Mitsubishi A6M2-N Rei-sen	19420701	0	0	
A6M3	0	PFI	0	0	0	0	2343	0	1	0		0	0	1	0	4	Human	air.A6M3	air.A6M3	vehicles.planes.Plane$A6M3	vehicles.planes.Plane$A6M3	533000	1780	462	554	5700	511	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M3 Zeke	Mitsubishi A6M3 Rei-sen	19411201	0	0	
A6M3_22	0	PFI	0	0	0	0	2350	0	1	0		0	0	1	0	4	Human	air.A6M3_22	air.A6M3_22	vehicles.planes.Plane$A6M3_22	vehicles.planes.Plane$A6M3_22	533000	1780	462	554	5700	511	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M3-22 Zeke	Mitsubishi A6M3-22 Rei-sen	19420101	1	0	
A6M3_32	0	PFI	0	0	0	0	2350	0	1	0		0	0	1	0	4	Human	air.A6M3_32	air.A6M3_32	vehicles.planes.Plane$A6M3_32	vehicles.planes.Plane$A6M3_32	535000	1780	465	555	5700	520	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M3-32 Zeke	Mitsubishi A6M3-32 Rei-sen	19420401	1	0	
A6M3_32kai	0	PFI	0	0	0	0	2375	0	1	0		0	0	1	0	4	Human	air.A6M3_32kai	air.A6M3_32kai	vehicles.planes.Plane$A6M3_32kai	vehicles.planes.Plane$A6M3_32kai	540000	1780	470	555	5700	520	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M3-32kai Zeke	Mitsubishi A6M3-32kai Rei-sen	19420701	1	0	
A6M3a_22ko	0	PFI	0	0	0	0	2350	0	1	0		0	0	1	0	4	Human	air.A6M3a_22ko	air.A6M3a_22ko	vehicles.planes.Plane$A6M3a_22ko	vehicles.planes.Plane$A6M3a_22ko	535000	1780	462	554	5700	511	545	330	10000	1	1	0	0	0	1	1	g	Mitsubishi A6M3-22ko Zeke	Mitsubishi A6M3-22ko Rei-sen	19420201	1	0	
A6M5	0	PFI	0	0	0	0	2742	0	1	0		0	0	1	0	4	Human	air.A6M5	air.A6M5	vehicles.planes.Plane$A6M5	vehicles.planes.Plane$A6M5	555000	1780	452	545	5700	490	518	330	11740	1	1	0	0	0	1	1	g	Mitsubishi A6M5 Zeke	Mitsubishi A6M5 Rei-sen	19430701	0	0	
A6M5A	0	PFI	0	0	0	0	2733	0	1	0		0	0	1	0	4	Human	air.A6M5A	air.A6M5A	vehicles.planes.Plane$A6M5A	vehicles.planes.Plane$A6M5A	565000	1922	462	555	5700	494.59	545	330	11741	1	1	0	0	0	1	1	g	Mitsubishi A6M5A Zeke	Mitsubishi A6M5A Rei-sen	19440301	0	0	
A6M5B	0	PFI	0	0	0	0	2733	0	1	0		0	0	1	0	4	Human	air.A6M5B	air.A6M5B	vehicles.planes.Plane$A6M5B	vehicles.planes.Plane$A6M5B	565000	1780	462	554	5700	493.6	518	330	11740	1	1	0	0	0	1	1	g	Mitsubishi A6M5B Zeke	Mitsubishi A6M5B Rei-sen	19440501	0	0	
A6M5C	0	PFI	0	0	0	0	2733	0	1	0		0	0	1	0	4	Human	air.A6M5C	air.A6M5C	vehicles.planes.Plane$A6M5C	vehicles.planes.Plane$A6M5C	565000	1780	461	551	5700	490.6	545	660	11740	1	1	0	0	0	1	1	g	Mitsubishi A6M5C Zeke	Mitsubishi A6M5C Rei-sen	19440901	0	0	
